No., English               , Vessenzlendisç  , 発音          , 日本語
118, to dig                ,                 , //            , 掘る
119, to swim               , zvimman         , /ˈzʋɪmɑ̃ː/     , 泳ぐ
120, to fly                , flewgan         , /ˈflɪɔɡɑ̃ː/    , 飛ぶ
121, to walk               ,                 , //            , 歩く
122, to come               , cueman          , /ˈkʰyːmɑ̃ː/    , 来る
123, to lie (as in a bed)  ,                 , //            , 寝る
124, to sit                ,                 , //            , 座る
125, to stand              , standan         , /ˈstʼɐndɑ̃ː/   , 立つ
126, to turn (intransitive),                 , //            , 回る
127, to fall               , fialan          , /ˈfjɑːlɑ̃ː/    , 落ちる
128, to give               ,                 , //            , 与える
129, to hold               ,                 , //            , 持つ
130, to squeeze            ,                 , //            , 絞る
131, to rub                ,                 , //            , 擦る
132, to wash               ,                 , //            , 洗う
133, to wipe               ,                 , //            , 拭く
134, to pull               ,                 , //            , 引く
135, to push               ,                 , //            , 押す
136, to throw              , vœrpan          , /ˈʋœɽpʰɑ̃ː/    , 投げる
137, to tie                ,                 , //            , 結ぶ
138, to sew                ,                 , //            , 縫う
139, to count              ,                 , //            , 数える
140, to say                , seççan          , /ˈsɛɕɑ̃ː/      , 言う
141, to sing               , singan          , /ˈsɪŋɑ̃ː/      , 歌う
142, to play               ,                 , //            , 遊ぶ
143, to float              ,                 , //            , 浮く
144, to flow               ,                 , //            , 流れる
145, to freeze             , frewzan         , /ˈfɽɪɔzɑ̃ː/    , 凍る
146, to swell              ,                 , //            , 膨らむ
147, sun                   , syen            , /siːn/        , 日
148, moon                  , mune            , /ˈmyːnə/      , 月
149, star                  , stœrre          , /ˈstʼœɽə/     , 星
150, water                 , vater           , /ˈʋɑːtʰəɽ/    , 水
151, rain                  , ręi             , /ɽɛ̃ɪ̃/         , 雨
152, river                 ,                 , //            , 川
153, lake                  ,                 , //            , 湖
154, sea                   ,                 , //            , 海
155, salt                  ,                 , //            , 塩
156, stone                 , stan            , /stʼɑ̃ː/       , 石
157, sand                  ,                 , //            , 砂
158, dust                  ,                 , //            , 塵
159, earth                 , œrð             , /œɽð/         , 地球
160, cloud                 , sçew            , /ɬjoː/        , 雲
161, fog                   ,                 , //            , 霧
162, sky                   , lyft            , /lɪftʼ/       , 空
163, wind                  , vind            , /ʋɪn/         , 風
164, snow                  , znav            , /znɑːʋ/       , 雪
165, ice                   , ajs             , /aɪs/         , 氷
166, smoke                 , zmoke           , /ˈzmoːkʰə/    , 煙
167, fire                  , fujr            , /fœʏɽ/        , 火
168, ash                   , esç             , /ɛɬ/          , 灰
169, to burn               , byrnan          , /ˈbɪɻnɑ̃ː/     , 燃える
170, road                  , radd            , /ɽad/         , 道
171, mountain              , bœrg            , /bœɽɡ/        , 山
172, red                   , riad            , /ɽjɑːd/       , 赤
173, green                 , green           , /ɡɽeːn/       , 緑
174, yellow                , jœlv            , /jœlʋ/        , 黄
175, white                 , hvajt           , /faɪtʰ/; /xʋ-/, 白
176, black                 , dœrc            , /dœɽkʰ/       , 黒
177, night                 , night           , /nɪxtʼ/       , 夜
178, day                   , deģ             , /dɛɪ/         , 日
179, year                  , jaar            , /jɑːɽ/        , 年
180, warm                  , viąr            , /ʋjɑ̃ːɽ/       , 暖かい
181, cold                  , çald            , /ɕɐl/         , 寒い
182, full                  , full            , /fʏl/         , 満ちた
183, new                   , nujv            , /nœʏʋ/        , 新しい
184, old                   , iald            , /jɑːl/        , 古い
185, good                  , gódd            , /ɡʊd/         , 良い
186, bad                   , yvel            , /ˈiːʋəl/      , 悪い
187, rotten                , ģuroted         , /jʏɽˈoːtʰəd/  , 腐った
188, dirty                 , buzmiten        , /bʏzˈmiːtʰə̃/  , 汚い
189, straight              , ģustrjaght      , /jʏsˈtʼɽɪɐxtʼ/, 真っ直ぐ
190, round                 , ģurunted        , /jʏɽˈʏntʰəd/  , 丸い
191, sharp (as a knife)    , sçiarp          , /ɬjɑːɽpʰ/     , 鋭い
192, dull (as a knife)     , stypb           , /stʼɪɓ/       , 鈍い
193, smooth                , zméð            , /zmeːð/       , 滑らか
194, wet                   , vett            , /ʋɛtʰ/        , 濡れた
195, dry                   , druj            , /dɽœʏ/        , 乾いた
196, correct               , right           , /ɽɪxtʼ/       , 正しい
197, near                  , niagh           , /njɑːx/       , 近い
198, far                   , fœrr            , /fœɽ/         , 遠い
199, right                 ,                 , //            , 右
200, left                  ,                 , //            , 左
201, at                    , on              , /õː/; /ə̃/     , に
202, in                    , in              , /ẽː/; /ẽ/     , に
203, with                  , mid             , /mɪd/         , と
204, and                   , and             , /ɐn/          , と
205, if                    , iff             , /ɪf/          , もし
206, because               , siððon          , /ˈsɪðõː/      , なぜなら
207, name                  , name            , /ˈnɑːmə/      , 名
